Water_type	Indicator	var
Coastal	CoastBQI	BQI
Coastal	CoastMSMDI	MSMDI
Coastal	CoastChla	chla
Coastal	CoastChlaEQR	chla
Coastal	CoastBiovol	biovol
Coastal	CoastBiovolEQR	biovol
Coastal	CoastSecchi	secchi
Coastal	CoastSecchiEQR	secchi
Coastal	CoastDINwinter	DIN
Coastal	CoastDINwinterEQR	DIN
Coastal	CoastDIPwinter	DIP
Coastal	CoastDIPwinterEQR	DIP
Coastal	CoastTNsummer	TN
Coastal	CoastTNsummerEQR	TN
Coastal	CoastTNwinter	TN
Coastal	CoastTNwinterEQR	TN
Coastal	CoastTPsummer	TP
Coastal	CoastTPsummerEQR	TP
Coastal	CoastTPwinter	TP
Coastal	CoastTPwinterEQR	TP
Coastal	CoastOxygen	O2
Coastal	CoastBottomOxygen	O2_bot
Coastal	CoastHypoxicArea	HypoxicAreaPct
Lakes	LakeBiovol	biovol
Lakes	LakeBiovolEQR	biovol
Lakes	LakePropCyano	Proportion_cyanobacteria
Lakes	LakePropCyanoEQR	Proportion_cyanobacteria
Lakes	LakePTI	TrophicPlanktonIndex
Lakes	LakePTIEQR	TrophicPlanktonIndex
Lakes	LakeIPS	BenthicDiatomsIPS
Lakes	LakeIPSEQR	BenthicDiatomsIPS
Lakes	LakeACIDEQR	BenthicDiatomsACID
Lakes	LakeNphytspec	Nspecies_phytoplankton
Lakes	LakeNphytspecEQR	Nspecies_phytoplankton
Lakes	LakeChla	chla
Lakes	LakeChlaEQR	chla
Lakes	LakeTMIEQR	TrophicMacrophyteIndex
Lakes	LakeASPTEQR	BenthicInvertebratesASPT
Lakes	LakeBQIEQR	BenthicInvertebratesBQI
Lakes	LakeMILAEQR	BenthicInvertebratesMILA
Lakes	LakeEQR8	EQR8
Lakes	LakeAindexW5	AindexW5
Lakes	LakeEindexW3	EindexW3
Lakes	LakeTPEQR	TP
Lakes	LakeSecchiEQR	SecchiDepth
Lakes	LakeOxygenSummer	O2_bot
Lakes	LakepHchange	pH
Rivers	RiverIPS	BenthicDiatomsIPS
Rivers	RiverIPSEQR	BenthicDiatomsIPS
Rivers	RiverPctPT	BenthicDiatomsPctPT
Rivers	RiverTDI	BenthicDiatomsTDI
Rivers	RiverACIDEQR	BenthicDiatomsACID
Rivers	RiverASPTEQR	BenthicInvertebratesASPT
Rivers	RiverDJEQR	BenthicInvertebratesDJ
Rivers	RiverMISAEQR	BenthicInvertebratesMISA
Rivers	RiverVIX	VIX
Rivers	RiverVIXs	VIXsm
Rivers	RiverVIXm	VIXsm
Rivers	RiverVIXh	VIXh
Rivers	RiverTPEQR	TP
Rivers	RiverTNsummer	TN
Rivers	RiverpHchange	pH
Rivers	RiverOxygenSummer	O2_bot

